,corpus_id,sentence,start_idx,end_idx
0,1966857,Introduction Statistical machine translation (SMT) makes use of a noisy channel model where a sentence ē in the desired language can be conceived of as originating as a sentence f in a source language.,20,21
1,1966857,"Since the space of different combinations is too large to be searched exhaustively, we use a guided search procedure based on Genetic Algorithms (Duh and Kirchhoff, 2004) , which optimizes the FLM structure with respect to the desired criterion.",41,42
2,14985007,"In particular, to facilitate access to its desired parts, it is stored in a structured form, like ontologies.",8,9
3,12386445,"So, the total probability (P (f |e)P (e)) would be higher than desired.",18,19
4,11921808,"The list of possible relation categories is unbounded and it depends on the desired application, the scope of the named entities and the available resources.",13,14
5,10435939,The desired form of LCS N 1 is shown in (11). (,1,2
6,10435939,The desired form of LCS N 1 is shown in ( 13 ). (,1,2
7,1659910,"Pruning To adjust the size of the word graph to the desired density, we can reduce the word graph size using forward-backward pruning, which is well-known in the speech recognition community, e.g. see (Mangu et al.,",11,12
8,216868180,"Indeed, the desired segmentation granularity (paragraph, section, chapter, etc.)",3,4
9,18627932,"As desired, NPFST has a low yield and high recall, and efficiently extracts highly interpretable phrases.",1,2
10,18627932,"As desired, NPFST has a low yield and high recall, and efficiently extracts highly interpretable phrases.",1,2
11,14928092,"Examples of each of these types of topics are in appendix B (tables 6 and 7, respectively); these examples illustrate that, as desired, the entity topics absorb location-specific terms, preventing them from overwhelming the general topics.",27,28
12,10090814,"The goal of this study was to develop an annotated set of baseline topics, along with their salient characteristics, as a first step towards automatically identifying and inferring the kinds of topics desired by domain experts.",34,35
13,15995767,"Technical problems appeared in 8 sessions out of 20, when Rolland did not drive to the desired destination.",17,18
14,3048321,"Though the word-alignments may still be correct, but for the phrase level alignment, it is not desired.",20,21
15,13596817,"Now, un- der the causal relation extraction model, each of the (NE 1 ,NE 2 ), (NE 1 , NE 2 ), (NE 1 ,NE 2 ), (NE 1 ,NE 2 ) pairs can serve as an example of the desired relation, both for the purposes of training and actual extraction (the event extraction case can be treated analogously).",52,53
16,17403471,These methods map the complex input object to desired outputs * * Equal contribution.,8,9
17,241583240,"We make the following extensions: First, we port their model to a transformer-based architecture and allow multilingual training by adding the desired target language as a new input to the conditional generation.",25,26
18,241583240,Proposed method We want to augment existing labeled utterances by generating additional novel utterances in a desired target language.,16,17
19,241583240,Upon manual examination we found that not all the paraphrases belong to the desired target intent.,13,14
20,241583240,"The slot similarity based metrics are lower in general, which indicates that even as little as 20 samples in the few shot setup improve the generation of desired slots.",28,29
21,241583240,"The desired intent, that is airline is realized in the gener-ated paraphrase.",1,2
22,241583240,The airline intent is realized in the generated paraphrase and also Atlanta and Philadelphia are the slot values produced associated with the desired slot types.,22,23
23,237940074,"In this paper, we explore how to use a small amount of new data to update a task-oriented semantic parsing model when the desired output for some examples has changed.",26,27
24,237940074,"Introduction Most work in semantic parsing (and NLP in general) considers a scenario where the desired outputs of a model are static and can be specified with a large, fixed dataset.",17,18
25,237940074,"Such changes require that the structures output by the model are updated, either by introducing a new intent (a representation of a desired action) or re-configuring arguments of existing intents.",24,25
26,237940074,"To make an update, new data annotations must be collected to specify the new form that is desired for model outputs.",18,19
27,6553548,"ONYX Syntactic Analyzer For this project we desired a parser that was fast, flexible and robust.",7,8
28,2443486,"Yet, the accuracy of our methods still leave a lot to be desired; on closer examination most of our problems can be attributed to the underlying translation model.",13,14
29,8092805,"The alignment errors are not desired in the re-training of the system, and need to be removed.",5,6
30,218974546,TEPROLIN can be easily configured to use different algorithms to do different parts of the text preprocessing pipeline and it only needs a list of desired text annotations to infer and construct the pipeline getting these annotations out (see Figure 1 ).,25,26
31,219558832,"This heuristic has the following desired properties: 1) If w 1 has a higher original individual WER than that of w 2 before the adjustment, then w 1 will have a higher target individual WER than that of w 2 from this adjustment, for arbitrary words w 1 and w 2 under certain simplifying conditions (Appendix A); i.e., we mostly preserve the property that some words are more easily confusable than others.",5,6
32,5715259,"Go over the alignment and group subtrees operations (e.g. every consecutive k deletions that correspond to an entire subtree reduces the edit distance score by α × k + β for any desired α and β in interval [0,1]).",33,34
33,218974025,"The first step involves the contribution of a resource by registered users of the NRS, who upload their data and specify the desired level of sharing for each resource.",23,24
34,18383661,"In such cases, either rule based or data-driven techniques are used to automatically process these OOV words and generate the desired results.",23,24
35,218973914,"When the request is successfully accepted, the server must create a job to execute the desired NLP task and respond to the client with the status code 201 (1-2-1) together with a Location HTTP header (1-2-2), to indicate that the job is created and accessible via the URL specified by the header.",16,17
36,218973869,"Each assistant is composed of the models and resources necessary to execute its desired functions, and may include any number of skills, or intention-action pairs defined for a particular process, e.g. delivering a verbal weather report if asked about the weather (see section 4.).",13,14
37,218973869,"For instance, since the size of the AM architecture has an impact on the computational cost and the accuracy, we determine the final model size by taking into account target resources and the desired accuracy.",35,36
