,corpus_id,sentence,start_idx,end_idx
0,241583436,"Under this training paradigm, the learned model is prone to hallucinate knowledge, mixing knowledge fragments inappropriately.",11,12
1,237940440,"6 Interestingly, we see that when asked for a longer response, the model starts to hallucinate extra content (but not slots) not given in the MR in order to satisfy the control variable.",17,18
2,237592700,"Additionally, parametric knowledge may perform worse for less frequent facts, which don't appear often in the training set, and ""hallucinate"" responses.",24,25
3,207758149,This causes the MT model to hallucinate.,6,7
4,248780449,"Truth To the extent that a use case places importance on the truth of the outputs provided, it is not a good fit for GPT-3 (Dale, 2021) LMs have a tendency to ""hallucinate"" when summarizing documents.",37,38
5,248780005,"Detoxifying posts of this kind may constitute a mission impossible for most models (possibly even for humans); the only way to produce a non-toxic 'rephrase' may be to change the original post beyond recognition, which may be rewarding systems like CAE-T5 that often hallucinate in their rephrases, as already discussed.",53,54
6,1610577,"In automatic speech recognition (ASR), for example, OOV words pose a substantial problem, since the system will hallucinate a phonetically similar word in its vocabulary when an OOV word is encountered.",22,23
7,211258645,"5 This step is important for PseudoD and Seq2Seq (which would learn to hallucinate entities) but not ONUS (which must reconstruct entities in q from its own decomposition, as discussed next).",14,15
8,235294035,"2018) and also requires models to condition generation on the retrieved evidence -penalizing models that hallucinate (Holtzman et al.,",16,17
9,246240585,"This causes the model to hallucinate-for example, that Barack Obama's wife is Hillary Clinton based on the high co-occurrence of the two entities.",5,6
10,202558974,"The bias can help predict missing state changes (e.g., above), but can also cause XPAD to ""hallucinate"" state changes with weak evidence, simply to give each sentence a purpose.",21,22
11,233189560,Our work addresses current limitations of models for abstractive summarization that often hallucinate information or generate summaries with coherence issues.,12,13
12,233189560,Prior work on factuality in abstractive summarization has found that current models can hallucinate information more Stochastic birth-death-immigration models are widely used in biology and ecology to study population dynamics.,13,14
13,245218843,"However, such pre-trained models are susceptible to generating hallucinate content that is not supported by the source documents (Cao et al.,",11,12
14,247594092,"2020) observes that strong neural models, although fluent and creative, often hallucinate information.",14,15
15,235266260,"Additionally, since our test set includes novel objects not seen in training, we provide the names of the objects as additional context for the LM generator (e.g. 'Vase, Laptop'); this allows a LM to copy those names over rather than hallucinate wrong ones.",48,49
16,218596261,"We also note that GPT2 has high SER for the fully-unseen domain; upon inspection, we see slot hallucination from GPT2 within alarm 1, while Seq2Seq/CVAE never hallucinate.",33,34
17,235097391,"Even though our models yield factually consistent summaries, as judged by human evaluation, they can still generate factually inconsistent summaries or sometimes hallucinate information that the source document does not include.",24,25
18,248834340,"Although the generated questions do not appear biased, they may hallucinate content, which is a common problem for neural generation models.",11,12
19,222142312,"As a result, many entities that appear in the reference summary never appear in the source, which may cause abstractive summarization models to hallucinate severely with many factual errors (Maynez et al.,",25,26
20,222140820,"The off-the-shelf sentence-level realizer (see the supplementary material) favors the statistics-dense sentences of the baseline summaries, as it tends to hallucinate on less dense plans.",31,32
21,15029994,"As it would be difficult to hallucinate such dependencies, we have only attempted the deep task.",6,7
22,235294302,"When manually annotating results of our early tests, we found that BART was more likely to be extractive and copy input passages in their entirety while UQAT5 was more likely to compose new text and produce answers with textual overlap from multiple input candidates but was more likely to hallucinate content.",50,51
23,248779912,"Finally, we discuss and analyse the challenge of generating factually-correct sentences without hallucinate information, as well as the difficulty of handling unseen attributes in both ranking and answer presentation.",15,16
24,233204359,"Interestingly, all four models score almostperfect accuracy, meaning they don't hallucinate medical facts.",13,14
