,corpus_id,sentence,start_idx,end_idx
0,241583436,"As shown in the Table 1 , unsupervised TMN generates less informative responses and suffers from a higher degree of hallucination.",20,21
1,241583436,"We asked annotators to compare the hallucination and informativeness between our method and PLATO-KAG w/o EK, with results summarized in Table 5 .",6,7
2,241583436,It is notable that the tie score of hallucination from PLATO-KAG w/o EK is a little inflated.,8,9
3,241583436,"As comparison, the knowledge keeps its independence and integrity in our response generation, which helps reduce the hallucination.",19,20
4,241583436,"To evaluate the criteria of hallucination, the human annotators were provided with referenced knowledge and allowed to use search engine to check the factual correctness.",5,6
5,237940600,Example 4: Dialogue sample with a bad domain focus and a hallucination.,12,13
6,237940440,-Incorrect Slot Values (Inc. Slot): Whether the response includes any slot values not given in the MR (a specific type of hallucination).,24,25
7,237940440,"On the other hand, it has a higher deletion and hallucination error rate since during decoding time, BSWD is free to insert or drop content in order to achieve the desired style.",11,12
8,247613284,"2021) explored tackling knowledge hallucination by incorporating control codes, which act as stylistic controls that encourage the model to generate responses that are faithful to the provided evidence.",5,6
9,227217599,The following error from FACT-LG-ST-RMR shows multiple hallucination of the exhibit item's creation time.,13,14
10,227217599,"Though the RST models yielded less dramatic improvements on comparisons in the challenge set, it is worth emphasizing that the RST models produce significantly fewer repetitions, omissions and hallucination compared to the FACT models (Figs.",30,31
11,237420426,"The second group is linking errors, including, e.g., hallucination of entities, return of unsorted results, and missing an aggregation step.",11,12
12,235294035,"2019) , the most likely token when decoded may not be factually accurate, or supported by the retrieved evidence, commonly referred to as a hallucination (Rohrbach et al.,",27,28
13,235294035,"2020) could be applied, however, task-specific fine-tuning would still be required to condition the generation based on the factual error to mitigate hallucination.",29,30
14,231802262,"Between the annotators, a combined total of 524 examples were labelled for both for hallucination and repetition.",15,16
15,231802262,"The overall performance was very high: for 95% of the inputs, both systems exhibited no signs of hallucination or repetition.",20,21
16,231802262,The second example contains a hallucination for both the length normalised and reranked systems -the input clearly states that the customer rating was '3 out of 5'.,5,6
17,245218843,But it is still challenging to improve the quality of summaries generated by different models and decrease the hallucination at the same time.,18,19
18,233296711,"Sensitivity of CLIP-S to hallucination Prior work has demonstrated that, for many literal description tasks, humans often prefer correctness in captions over specificity (Rohrbach et al.,",6,7
19,233296711,"2018 )'s finding that ""object hallucination can not be always predicted based on the traditional sentence metrics"" using a corpus derived from Shekhar et al. (",7,8
20,218596261,"We also note that GPT2 has high SER for the fully-unseen domain; upon inspection, we see slot hallucination from GPT2 within alarm 1, while Seq2Seq/CVAE never hallucinate.",21,22
21,248218576,"For dialog-level human evaluation, we measure hallucination (Hallu.)",9,10
22,231951460,"For example, state-ofthe-art models trained on existing datasets exhibit entity hallucination, generating names of entities that are not present in the source document.",15,16
23,231951460,We propose a set of new metrics to quantify the entity-level factual consistency of generated summaries and we show that the entity hallucination problem can be alleviated by simply filtering the training data.,24,25
24,231951460,We call this the entity hallucination problem.,5,6
25,231951460,"In fact, the source document mentioned a study involving people in Italy and Netherlands; ""UK"" was a result of model hallucination.",24,25
26,231951460,Precision-source: We propose precision-source (prec s ) to quantify the degree of hallucination with respect to the source: prec s = N (h ∩ s)/N (h).,18,19
27,231951460,Low prec s means hallucination is severe.,4,5
28,231951460,We hypothesize that the hallucination problem is largely caused by the training data itself.,4,5
29,231951460,"This way, we ensure that our filtered dataset does not contain hallucination of entities (prec s = 1) in the ground truth summary.",12,13
30,231951460,"As we shall see in Table 3 , entity-based data filtering reduces hallucination of the trained model and the effect is especially significant in the XSUM dataset.",14,15
31,231951460,"Precision-target and recall-target: Although the precision-source (prec s ) metric quantifies the degree of entity hallucination with respect to the source document, it does not capture the entitylevel accuracy of the generated summary with respect to the ground truth summary.",23,24
32,231951460,"In all datasets, data filtering leads to higher prec s scores, indicating that entity hallucination can be alleviated by this simple technique.",16,17
33,231951460,"For example in XSUM, the prec s is increased from 93.6% to 98.2%, indicating a significant reduction in entity hallucination.",23,24
34,231951460,In Table 4 we provide qualitative examples where the model trained on the original data produces hallucination and the entity-level data filtering removes such hallucination.,16,17
35,231951460,In Table 4 we provide qualitative examples where the model trained on the original data produces hallucination and the entity-level data filtering removes such hallucination.,26,27
36,231951460,We propose precision-source score prec s to quantify the degree of entity hallucination.,14,15
37,231951460,We found that the ground truth summaries of the XSUM dataset contain a high level of entity hallucination.,17,18
38,231951460,We propose a simple entity-level data filtering technique to remove such hallucination in the training data.,13,14
39,231951460,"Overall, combining our proposed approaches significantly reduces entity hallucination and leads to higher entity level metrics with minimal degradation of the ROUGE scores.",9,10
40,234358027,"We believe this is caused by the fact that ROUGE is already highly optimized by the MLE model and it is used as initialization for R-C; the ""hard"" examples where the MLE model couldn't produce good ROUGE scores may be inherently problematic (e.g. hallucination in the ground truth summary); focusing on these examples by R-C can therefore make the model weaker on other examples.",50,51
41,234358027,Our model is able to rectify factual errors found in MLE such as 1) entity hallucination and errors (Example 1 and 2 in Table 5 ) and 2) relations and co-reference (see Table 1 and Example 3 in Table 5 ).,16,17
42,234358027,"Another recent work tackles the hallucination problem in abstractive text summarization via post processing on the generated summary (Chen et al.,",5,6
