,corpus_id,sentence,start_idx,end_idx
0,15995767,"Spatial gestures belong to representational gestures, which according to McNeill's (1992) taxonomy can be deictic, iconic, or metaphoric.",20,21
1,15995767,In 6 sessions participants used deictic/pointing gestures and in 1 an iconic gesture (rubbing hands under the tap to represent washing hands).,13,14
2,15995767,"Two exceptions on gestural types and frequency were the following: in one case a male participant used often iconic gestures ""for fun"", e.g. representing that he holds a gun.",19,20
3,219306506,"We followed the taxonomy of McNeill (1992) , and focused particularly on gesticulation (further classified into iconic, metaphoric, rhythmic, cohesive, and deictic gestures), but also emblems and adaptors.",19,20
4,219306506,"Therefore, in our taxonomy we have manipulative gestures, which are restricted to screen-based activity (Table 5 ) and communicative co-speech gestures, which happen in the 3D space, such as pointing & iconic, but also affect displays, adaptors and emblems.",40,41
5,174800443,"1993) , 6 the iconic corpus of PoS tagging for which a thorough manual analysis of the annotation quality is described in (Manning, 2011) .",5,6
6,17835134,The MMI is a graphical interface which uses windows and toggle menus with iconic symbols to provide an intuitive environment.,13,14
7,17034258,"Still, several non-verbal methods for the treatment of some severe cases of non-fluent aphasia, such as the visual analog communication, iconic communication, visual action and drawing therapies, are currently used (Sarno, 1981; Albert, 1998) .",27,28
8,16123383,"Leemans [4] shows that an appropriately designed iconic language, built according to a set of fixed principles, leads to no difference in the recognition rate of icons for people of western and non-western culture, yielding an average rate of about 79%.",9,10
9,7048421,"Emoticons Emoticons are iconic signs combined of punctuation marks that are used for expressing emotions, e.g. :P , :-) , :D. As emoticons contribute a certain meaning or a meaning nuance to the text, just like words do, it would be reasonable to analyze them as words and give them a word-class tag.",3,4
10,4406182,"the oscar nominated star known for her roles in iconic films such as scarface , dangerous liaisons andthe age of innocence , has teamed up with katie couric to pitch a new television comedy about a morning news program .",9,10
11,4406182,"Single Agent Baseline the oscar nominated star known for her roles in iconic filmssuch as scarface , dangerous liaisons and the age of innocence , has teamed up with katie couric to pitch a new television comedy about a morning news program .",12,13
12,4935860,"For example, in one dataset we work with, our method scores ""London"" as highly concrete because of a preponderance of iconic London images in it, such as Big Ben and double-decker buses; whereas for a separate dataset, ""London"" is used as a geotag for diverse images, so the same word scores as highly non-concrete.",24,25
13,4935860,"In COCO, images of London tend to be iconic (i.e., Big Ben, double decker buses); in contrast, ""London"" often serves as a geotag for a wider variety of images in Flickr.",9,10
14,233296711,"Qualitatively, CLIP-S succeeds when there are visually-verifiable content, e.g., matching black-and-white photos to older dates (e.g., picking 1933 vs. 1977 , in one case), and matching particularly iconic celebrities (e.g., it confidently identifies Muhammad Ali boxing).",42,43
15,168170188,"In particular, LSTMs generally have a preference for the reverse version of an iconic language, and only show a weak tendency towards avoidance of redundant coding.",14,15
16,168170188,"For example, in the forward-iconic language, 3-phrase utterances are generated by the following rules: (1) U → P1 P2 P3 P(1|2|3) → C Q C → (left|right|up|down) Q → (1|2|3) Shorter and longer utterances are generated analogously (a N-phrase utterance always has form P1 P2 . . .",7,8
17,168170188,"The backward-iconic language is analogous, but phrases are interpreted right-to-left.",3,4
18,168170188,"Experiments with humans have shown that, as listeners, children perform better with iconic sentences than noniconic ones (de Ruiter et al.,",14,15
19,168170188,"We compare in particular the forwardiconic order with the backward-iconic language, and three randomly selected non-iconic languages where the relation between segment and phrase order is fixed but arbitrary.",11,12
20,168170188,"We compare in particular the forwardiconic order with the backward-iconic language, and three randomly selected non-iconic languages where the relation between segment and phrase order is fixed but arbitrary.",20,21
21,168170188,The (forward) iconic order is better than the non-iconic ones in the speaking direction only.,4,5
22,168170188,The (forward) iconic order is better than the non-iconic ones in the speaking direction only.,12,13
23,168170188,"In speaking mode, the 5171 agent learns fastest with the forward iconic language, followed by the backward one.",12,13
24,168170188,"Only the attention agent in speaking mode shows a trade-off between order and markers coding, with a preference for markers-free fixedorder iconic languages over their counterparts with markers, and for the free-order language with markers over the marker-less one.",26,27
25,168170188,"Only the non-iconic languages violate the trend: arguably, though, non-iconic order coding is so sub-optimal that redundant markers are justified in this case.",4,5
26,168170188,"Only the non-iconic languages violate the trend: arguably, though, non-iconic order coding is so sub-optimal that redundant markers are justified in this case.",16,17
27,168170188,"In sum, we confirm a preference for iconic orders.",8,9
28,168170188,"In iterated learning, we might expect the lineage of agents that starts with less natural non-iconic languages to either converge to speak more iconic ones, or possibly to drift into low communication accuracy.",18,19
29,168170188,"In iterated learning, we might expect the lineage of agents that starts with less natural non-iconic languages to either converge to speak more iconic ones, or possibly to drift into low communication accuracy.",26,27
