,corpus_id,sentence,start_idx,end_idx
0,64055047,"5 : un indexical "" temporel "", soit un adverbe de temps simple (non dérivé) ou un nom "" situant les faits dans la durée par rapport au moment de la parole ou un autre repère "" (Grevisse & Goosse, 1986) Critères pour la délimitation Une fois identifiées, il importe de délimiter les ET.",3,4
1,6920599,"The reason is the act of referring in the English segment where the demonstrative pronoun 'This', a lexicalized deictic element or indexical, is clarified in the Greek segment with the nominal referent μεταρρύθμιση (metarythmisi) 'reform'.",24,25
2,3104544,"Gender and number are indexical morphemes, which means that there is a phrase in the sentence that necessarily agrees with the target item.",4,5
3,12696810,"Predicates denoting whether an entity is introduced using a definite article (def), an indefinite (indef) or an indexical (index). •",22,23
4,12921583,"Whereas the indexical nouns today, tonight, yesterday, tomorrow occur as adverbs in all dialects, the days of the week Sunday through Saturday cannot 15And these in fact have precise translation equivalents, using prepositions, in Ancient Greek.",2,3
5,749397,"Processors were instructed to eliminate sentences containing anaphora, indexical expressions, formulations of instructions, warnings and the like, and to replace them where possible by complete statements constructed via simple syntactic modifications.",9,10
6,1622819,"One such feature is the indexical referent #, which is used to represent unresolved anaphoric references, tenses, and other context-dependent phenomena.",5,6
7,6534118,We then drew a further distinction between BDUs as a class of syntactic structures with the potential to establish anchor points and the actual BDUs in a given sentence which can function as indexical anchor points in a specific discourse.,33,34
8,6534118,"Clauses, and many other verb based structures, carry indexical information that ties the content to the context in which it is to be interpreted.",10,11
9,6236230,"That is, we cannot graft a language sys tern onto intentionality, but we can eml)loy its modality-iconic, indexical or symbolic (Frawley, 1988) -as the agency for discourse relations (Burke, 1962) .",23,24
10,5349301,"It was argued that in more traditional lines such a problem can be thought of, alternativelly, as the resolution of spacial indexical referents.",23,24
11,6935813,"Also, we have used lists of forms of Czech pronouns that are used as weak pronouns, indexical expressions, pronouns with general meaning, or strong pronouns.",18,19
12,6935813,is-indexical-expression; 15.,2,3
13,3177440,"ULF is a preliminary, indexical EL representation with syntactic marking of residual scope ambiguity.",5,6
14,15522232,"According to reference relation between a zero pronoun and its antecedent, zero pronouns in Korean can be divided into three classes as in Table 1 ; discourse anaphoric zeros, deictic and indexical zeros, and indefinite zeros.",33,34
15,15522232,"Ø = the action of going home) The second class of zero pronouns includes deictic and indexical zeros that directly refer to entities that can be determined in the given spatiotemporal context, which generally include a speaker and an addressee.",17,18
16,15522232,Deictic and indexical zeros are dependent on discourse participants.,2,3
17,15522232,Overlapping mark-up for these zeros need to be allowed although resolution mechanisms for deictic and indexical zeros are different from those for anaphors.,17,18
18,39961469,"A subclass of these contextdependent expressions are 'indexical' expressions, which require knowing when the speaker is speaking to determine the intended time value, e.g., now, today, yesterday, tomorrow, next Tuesday, two weeks ago, etc.",8,9
19,1506909,"Our focus here, in contrast to previous work such as (MUC 1998) , is on resolving time expressions, especially indexical expressions like ""now"", ""today"", ""tomorrow"", ""next Tuesday"", ""two weeks ago"", ""20 mins after the next hour"", etc.,",23,24
20,5487759,"One of them is that it is not easy to draw the boundary line between those cases in which the deleted lexical unit is to be inserted as such, and cases in which just an anaphoric or indexical item is appropriate.",38,39
21,708969,"The relation theory of meaning also represents a much greater balance between context and content than more traditional theories, where context is usually limited to the determination of a few indexical terms.",31,32
22,226283995,"Such a node is used for the indexical ""now"", modelling the time of speech, which is part of the semantics of the present-tense copula is.",7,8
23,15871577,"Furthermore, each gesture can be assigned a semiotic type following Peirce's (1931) classification, which distinguishes between indexical, iconic and symbolic signs.",21,22
24,16665213,The temporal tagger used for the domain of tourism follows the design and methodology of the temporal tagger described in [11] that is capable of identifying both self-contained temporal expressions(TEs) and indexical/under-specified TEs.,36,37
25,16665213,"In addition, it can deal with indexical references such as this year without a problem.",7,8
26,6320413,"Introduction This paper investigates the use of indexical determiners (i.e. determiners employed for direct references to objects and that include a pointing gesture) by Dutch, Portuguese and English speakers.",7,8
27,6320413,A comparison of the use of Dutch and English demonstratives in terms of the accessibility of the target by Piwek and Cremers (1996) suggested that English and Dutch speakers follow opposite strategies in their use of indexical demonstratives.,38,39
28,6320413,"While we acknowledge that these are important dimensions in the analysis of demonstratives, in the present paper we restrict ourselves to an elicitation study and analyse the use of indexical determiners in terms of accessibility and distance, in line with the model developed by Piwek et al. (",30,31
29,6320413,"Since the dialogue script includes an explicit pointing gesture for all REs, we expected participants to choose either a proximal or an (indexical) distal demonstrative.",24,25
30,3906753,"On each trial, the input to the network was an indexical bit vector corresponding to one of the five sentence symbols.",11,12
31,250391043,"Finally, we hypothesize that the index finger pointing can be an indexical non-deictic gesture that has a general emphasis function in the dialogue (Allwood et al.,",12,13
32,17342618,"In the future, we plan to investigate indexical cues, prosodic cues, and semantic cues in order to capture the perspectives in a patient's narrative.",8,9
33,1588777,"8 We also used lists of forms of Czech pronouns that are used as weak pronouns, indexical expressions, pronouns with general meaning, or strong pronouns.",17,18
34,18417079,"These layers allow for a distinction between asserted and presupposed content, but also for a separate interpretation of implicated, indexical and formal content.",21,22
35,18417079,"Hunter provides an alternative analysis in which she shows that no extra layer is needed for indexical content; the behaviour of reference-fixing expressions can be accounted for by adding an extra-linguistic context level to standard DRT, the content of which is determined by the actual state of the world.",16,17
36,18417079,"For example, we above mentioned a possible extension with a special context for indexical content, as described by Hunter (2012) .",14,15
37,8847804,"Their focus is resolving temporal expressions, especially indexical expressions, which designate times that are dependent on the speaker and some reference time.",8,9
38,1841891,"The arcs are labelled either by argument numbers (1), (2), (3) ..... or by ""inverse"" argument numbers (inv-1), (inv-2) .... -'At', '5%', '695' are abstract semantic units; -'lastweek' is treated as a single unit, which is justified by the fact that it plays the role of a frozen indexical in our sublanguage (as 'yesterday' does in the standard language); -the (1), ( 2 ), (3) labels correspond to argument positions, either of predicates (like 'increase', treated as; a 3-place predicate) or of functions (such as 'price', which takes a commodity as first argumen0; The interpretation of this notation is made easier if one considers as an example the semantic structure in the (inv-1) labels correspond to ""inverted"" argument relations, which implies that 'increase' is in first argument position relative to 'lastweek', and that 'price' is in first argument position relative to 'At', ('Saskatchewan' being the second argument of 'At').",74,75
39,235303699,"Building on Silverstein's notion of indexical order, Eckert (2008) built the notion that linguistic variables index a social group, which leads to the indexing of certain traits stereotypically associated with members of that group.",6,7
40,227231118,"A referent can include a quantifier or an indexical symbol, which refer to the quantity and the current instance of a concept, respectively.",8,9
41,227231118,"If there is an indexical symbol # inside a referent field, it could be resolved to a specification of some instance with respect to its type label (Sowa, 2000) .",4,5
42,227231118,"By the definitions in WordNet and conceptual graphs, we assign Arabic numerals for articles/numbers, denote the indexical symbol for determiners, and remain the empty field for existential quantifier.",20,21
43,235097591,"The collection of social meanings a linguistic feature could potentially evoke is referred to as the indexical field of that feature (Eckert (2008) , for a theoretical discussion of indexicality, see Silverstein (2003) ).",16,17
44,235097591,"However, carefully collected experimental data should at least be able to lay bear the social meanings that language users collectively associate with a certain linguistic form (i.e. its indexical field).",30,31
45,6242068,"Our proposed notion of meaning is clearly reminiscent of the claim in (Barwise and Perry 1983) that meaning is a relation between different types of situation, though it also has its roots in earlier work on indexical semantics, such as (Stalnaker 1972) .",39,40
46,198936452,Indexicals Examples of indexical expressions are the first and second person singular pronouns I and you.,3,4
47,198936452,"The dialogue role-awareness is crucial in order for children to acquire the capacity of reversal necessary for the mastery of indexical pronouns, a difficulty ascertained by Oshima-Takane et al. (",22,23
48,198936452,"That is, in case of indexical pronouns it is precisely not their co-occurrence pattern that give clues to their reference, but their relation to contextual indices.",6,7
49,218974528,"In addition, RS involves the displacement of indexical elements: first and second person pronouns do not refer to the signer and the interlocutor of the main context of utterance, but to those of the reported one.",8,9
50,218974528,"The interpretation of temporal and locative indexical is based on the derived context too (Quer, 2016; Schlenker, 2017a; Schlenker, 2017b) .",6,7
51,37689881,"To keep the distinction clear, modal verbs were only marked as seeming when their meaning was obviously indexical to character judgement.",18,19
52,219301343,It is argued that indexicals have both an indexical and a descriptive aspect -why they are called weak descriptors here.,8,9
53,219301343,"The indexical aspect anchors them in the actual situation of utterance, the weak descriptive aspect singles out the referent.",1,2
54,219301343,"The descriptive interpretation in (4a) cannot simply be reduced to a certain use of the indexical: it is triggered by applying an adverbial quantifier (A-quantifier) to the indexical in the first place (Kijania-Placek, 2015) .",18,19
55,219301343,"The descriptive interpretation in (4a) cannot simply be reduced to a certain use of the indexical: it is triggered by applying an adverbial quantifier (A-quantifier) to the indexical in the first place (Kijania-Placek, 2015) .",35,36
56,219301343,"When an A-quantifier is present, the meaning of the indexical is shifted from a referent to, for instance, its office (6b) or kind (6c).",12,13
57,219301343,"Note further that the classic examples for descriptive readings of indexical expressions involve a form of the lexeme be followed by a predicational noun phrase (an exception being the more laborious construction in (7), though).",10,11
58,219301343,"5  Thus, the phenomenon of descriptive indexicals usually is invoked by • predication over an indexical subject, where • the grammatical realization of the predication involves a be equation, and • the predication is quantified.",17,18
59,219301343,"However, since today is an indexical expression, it does not give rise to a set denotation as required in (8).",6,7
60,219301343,"Using a contextual relation f as in works on deferred reference, the indexical can be type-raised by abstracting over the index.",13,14
61,219301343,The indexical today is then applied to this year.,1,2
62,219301343,"The strategy is as follows: • The indexical picks out an individual but is descriptively underspecific (that is, the referent is not (only) singled out by descriptive means). •",8,9
63,219301343,"In this way, both the indexical (utterance-time sensitive) and the descriptive (toDAY) aspect of ""today"" are captured. ( )",6,7
