,corpus_id,sentence,start_idx,end_idx
0,14129605,"The recognition of dialogue acts, and thus the recognition of the intension behind the utterances reaches a 70% recall (Reithinger and Klesen, 1997) .",12,13
1,697661,"Frege, 1892) , extension here is used to establish the relationship between a word and the world, opposed to intension, referring to the relationship between aword and its meaning.",22,23
2,171712575,"Plus formellement, un espace de recherche peut être défini, en intension, par un Processus de Décision Markovien (PDM) (Sutton & Barto, 1998) .",12,13
3,1910842,"We have ascertained that, in almost every case, the generic part of the definitions of the DMI (and therefore of the Zingarelli) gives the word whose level is immediately higher with respect to that of the defined lemma (considering a hierarchical classification moving from the more specific to the more general, i.e. from a greater to a smaller intension).",64,65
4,1910842,"We have seen that, among the most frequent lemmas in the definitions (i.e. among those words whose extension is greater or, in other words, whose intension is smaller), those words considered as markers by literature on this subject appear.",29,30
5,17759492,"Introduction While proper treatment of the Propositional Content (PC) of a sentence is undoubtedly important in natural language processing (NLP), the Non-propositional Content (NPC) also plays a critical role in tasks such as discourse understanding, dialogue modeling, detecting speaker's intension.",51,52
6,17446546,The application of these information structures to the analysis process results in a languageindependent representation of the intension expressed in a sentence by means of a conceptual organization.,17,18
7,17446546,Based on this assumption there are thus four possibilities for the process of translation based on the intension of a conceptual representation.,17,18
8,17446546,"By intension we mean the set of characteristics, i.e. the formal representation of the properties of an object serving to form and delimit its concept, which constitutes the concept.",1,2
9,17446546,"Inclusion of one intension in the other, i.e. there are conceptual meanings of a concept which do not exist in another language, for example, the concept PALACE has one specific meaning which is only valid in a monarchy.",3,4
10,17446546,"In each case, the result of the translation is a fully specified conceptual representation of the intension of the analyzed sentence.",17,18
11,61356609,Le point commun de tous les hyponymes c'est leur potentialité à pouvoir exprimer la même idée en « intension ».,18,19
12,13274555,"However, in practical information retrieval systems, it is difficult to fix the set of primitives for representing intension.",19,20
13,1653195,"Relations-in-intension, type (οβ 1 …β m ) τω .",4,5
14,21727334,"Acquisition, extraction and exploitation Definitions and definitory contexts In a strict sense that is applied e.g. in language philology and terminology, a definition supplies information that is sufficient to explicate either the content (or intension) of a concept or the set of individuals that form the extension of the concept.",37,38
15,5986695,"For example, bird is more general than eagle, having a broader intension and a larger extension.",13,14
16,18546422,The goal is to assist the operator in selecting the desired destination that matches caller' s intension.,17,18
17,61492637,"Intensional adjectives do not describe entities but rather complex operations that act on the intension of the noun they modify (a former criminal was a criminal in a past state of the world, but not in the current one).",14,15
18,1622819,He started with Carnap's intuition (1947) that the intension of a sentence is a function from possible worlds to truth values.,11,12
19,1622819,The intension of each word in each lexical category would correspond to a functional form of some sort.,1,2
20,1622819,"The intension of the noun unicorn, for example, would be a function that applies to entities in the world and generates the value true for each unicorn and false for each nonunicom.",1,2
21,1622819,"This 2-expression defines the intension of be as a function with two arguments: ~' is the intension of the phrase that follows the word be, and x is the intension of the subject of be.",6,7
22,1622819,"This 2-expression defines the intension of be as a function with two arguments: ~' is the intension of the phrase that follows the word be, and x is the intension of the subject of be.",20,21
23,1622819,"This 2-expression defines the intension of be as a function with two arguments: ~' is the intension of the phrase that follows the word be, and x is the intension of the subject of be.",34,35
24,1622819,"As a result, he claimed that The temperature is ninety asserted the equality of extensions, but that The temperature is rising applied the verb rise to the intension.",29,30
25,2516915,"VALUE ""$varl))...) The caret is an operator (akin to an intension operator) which retrieves the meaning of the syntactic constituent bound to the variable.",17,18
26,12735805,"However, the subject of the question is usually unvalued to analyze the intension of the question because the whole answer lists are its description.",13,14
27,12735805,Only by analyzing the question intension under the environment of context could the purpose be extracted correctly.,5,6
28,12735805,"Secondly, from the proper functioning of the IAWF models, we can draw a impression that the syntactic construction of the answer sentence has very litter impact on the analysis of the intension.",33,34
29,10716231,"A very interesting aspect of this work is that concept-clusters have a dual nature, consisting both of words-terms (extension) and their lexico-syntactic contexts (intension).",33,34
30,14319538,"Discussion: How Things Happen Note that DLG criterion is to perform segmentation with the intension to maximize the compression effect, which is a global effect through the text.",15,16
31,16453936,"What Putnam has demonstrated is that ""a speaker can, by all reasonable standards, be in command of a word like water without being able to command the intension that would represent the word in possible worlds semantics"" (Partee, 1979) .",30,31
32,3177440,Semantic Handling of Intension and Attitudes in EL This section briefly describes how the semantic interpretation of EL enables proper handling of intension and attitudes.,22,23
33,3177440,"Semantic types of nodes are not defined, there is no distiction between extension and intension (or between what is real and what is hypothetical), and thus there is no clear basis for inference.",15,16
34,2126961,"Lappin's[17] acemmt explicitly rejects the alphabetic variance condition, replacing it with the following condition: For any two occurrences c~ and fl of an open VP intension ¢xl, tr can serve as the antecedent of/~ iff both occurrences of xl can be naturally interpreted as having the same intended range of possible values.",28,29
35,890153,"The process of selecting between lexical expressions, then, is essentially a process of deciding between which propositions (aspects of an expression's intension or connotation) may have to be added to or omitted from the interpretation in order to produce a fluent target language text.",25,26
36,250179911,"Chaque concept est défini par son extension, l'ensemble des n-uplets qu'il contient, et par son intension, qui est le motif de graphe que matchent tous les n-uplets de l'extension.",19,20
37,250179911,"Finalement, le concept le plus large a une intension vide et regroupe dans son extension toutes les entités du graphe.",9,10
38,62948287,L'élaboration des paradigmes de flexion verbale que nous proposons est une description en intension d'ArabicLDB (Arabic Lexical DataBase) qui est une base lexicale normalisée pour la langue arabe.,13,14
39,62948287,"Dans le présent papier, nous nous intéressons à la modélisation des paradigmes de flexion des verbes arabes en vue de construire une description en intension des verbes dans une base lexicale.",25,26
40,62948287,Ces paradigmes forment la représentation en intension des verbes dans la base ArabicLDB qui comporte 16 000 verbes.,6,7
41,5688042,"For this reason, each property is associated with some association rules that specify the constraints related to both its syntactic behaviors and the pertinence and the intension of the property itself.",27,28
42,2757555,"In this case, representation in intension is the only manageable issue. •",6,7
43,15389969,"Copyright 2009 by Yoichiro Hasebe and Kow Kuroda cepts, by regarding them as being composed of the extension and the intension.",21,22
44,15389969,"1 An extension is defined as the set of objects, and an intension as the set of their attributes.",13,14
45,15389969,"The largest set of objects sharing one attribute set is called the extension, and the attribute set is called the intension.",21,22
46,15389969,"A concept in FCA is defined as the pair of an extension and an intension, and such a concept is specifically called a formal concept.",14,15
47,15389969,"For instance, in the table above, the objects in pair {Sparrow, Eagle} have attributes {bird, flying} as their intension, and the latter attribute pair, in reverse, has those objects as its extension.",26,27
48,10916532,"The method is designed to learn the conceptual information in the summaries by extension (i.e., the set of strings that make up the concept in a given corpus) and by intension (i.e., an algorithm able to recognise the concept members in new documents in the domain) (Buitelaar and Magnini, 2005) .",33,34
49,202584103,"Officially, CHoTT is the fragment of Shulman (2018) consisting of the usual notions of homotopy type theory, together with the comonadic type operator 5, which we think of as an intension type operator performing the role of Montague's xs, ´y. In less condensed terms, we have the following: In the tradition of Pfenning and Davies (2001) and Shulman (2018) , CHoTT has two variable judgements, u : t5u A and x : A We will say (at variance with prior terminology) that ""u is an intensional variable of type A,"" when u : t5u A and that ""x is an extensional variable of type A,"" when x : A. Remark 1 Intuitively, having an assumption u : t5u A of an intensional variable of type A is akin to having an assumption x : 5A of an extensional variable of the type of intensions of terms of type A. Indeed, such assumptions will turn out to be interchangeable.",35,36
50,202584103,"i is understood as the principle that an assumption of an intension of a term of type A yields a term of type A. This rule is, naturally, implicated in the derivation of the Montague extension operator, below.",11,12
51,202584103,"intension operator) rules only apply ""in an intensional context"", that is, when no extensional variables are present in the context.",0,1
52,202584103,"Furthermore, it gives a benign way of ""substituting into an intensional 1 While IL does not place any similar restriction on the intension operator p p´q, Montague does stipulate a constantdomain Kripke semantics for IL.",24,25
53,202584103,"As discussed in Section 2.3, the intensional variable u signals de re interpretation, and makes it possible to adduce an intension operator, forming walkpu 5 q 5 .",22,23
54,173990986,"This corresponds to an intensional (or indirect) notion of reference: a distinct referent is identified by its general idea or concept (intension), rather than its instances.",25,26
55,2637187,In contrast to the German language system we are conceptually using a two stage approach in which we first attempt to represent the intended meaning of a date expression ('intension') and only then map it to a date range for search and retrieval (one might call this range the 'extension' of a date expression).,31,32
56,2637187,For the representation of date expression semantics (intension) we have chosen the VRA core 4.0 set of metadata elements and here in particular the 'date' element.,8,9
57,15992950,"Your composition will be evaluated in terms of: 1) how accurate your choice of English words and grammar is, and 2) your intension is conveyed to the recipient in full.",26,27
