,corpus_id,sentence,start_idx,end_idx
0,218974039,"Behavioral economics, e.g., Thaler (2015) , considers that emotions trespass the boundaries of rationality and govern, together with other factors, the decisionmaking of investors.",17,18
1,18892729,This implies compilation of a more powerful formalism into finite-state rules which do not express the rationality of the analysis.,18,19
2,196203277,"These observations show that the proposed joint model is effective for the joint type inference on entities and relations, and also show the rationality of the proposed dynamic graph, as expected.",24,25
3,248965162,"A.3 Theoretical Analysis In this section, we conduct the theoretical analysis to prove the rationality and necessity of our proposed ICL and LCL losses.",15,16
4,6035777,Such model can be used to estimate the rationality of tense combination in a sentence and thus supervise SMT to reduce tense inconsistency errors against Observations (1) and (2) in the sentence-level.,8,9
5,249204520,"Whether it was in the choice of lexical (BLEU-1) or in the order of word (RIBES), there was a certain degree of improvement, which also supports the validity and rationality of incorporating syntactic knowledge.",35,36
6,233209661,"In the above procedure, we need to obtain similar entities before looking for textual entities, and the rationality of such a strategy is discussed as follows.",19,20
7,8909753,A procedure of constraint which can integrate more structure information is made to check the rationality of the reduce.,15,16
8,38753598,On the top of this hierarchy of control mechanisms we have the rationality.,12,13
9,38753598,"The related information is produced in humans by using the rationality that is supported by the newest part of the human brain, the neocortex.",10,11
10,10108216,"Deliberation DELIBERATION as a component of a theory of intention in discourse is functionally related to the theory of economic rationality, which in recent years has augmented the INFORMATION-based (logical) view of action [3] .",20,21
11,207852454,"Once the system returns its prediction, we measure its accuracy, and the user is asked to rate the whole interaction according to rationality and naturalness.",24,25
12,207852454,"Naturalness and rationality measure the quality of the interaction, so we show the results of the user survey in Figure 2 only for interactive systems.",2,3
