,corpus_id,sentence,start_idx,end_idx
0,10247031,"makes prohibited) an Actant Slot (ASlot) of symbol s. The set of PUTs is denoted T and defined as the disjoint union of T D , the ranges of γ γ γ, γ γ γ 1 and γ γ γ 0 , plus the prime universal PUT and the prime absurd PUT ⊥ (eq.",10,11
1,10247031,"Thus as one goes down the hierarchy of unit types, an ASlot with symbol s is introduced by the radix {γ γ γ(s)} and first defines an optional ASlot for any unit type t ∩ more specific than {γ γ γ(s)}, as long as t ∩ is not more specific than the obligat {γ γ γ 1 (s)} (resp.",14,15
2,10247031,"5 The powerset of X is the set of all subsets of X: 2 X Finally, to each CSymbol is assigned a signature that specifies the type of units that are linked through a relation having this symbol.",39,40
3,1329203,"When parsing the context sentence, we replace each citation content with a <CITATION> symbol, in order to remove the contextual bias.",16,17
4,9374715,"A cross in this matrix designates an alignment valid in both directions, while the symbol indicates an uni-directional alignment (for has been aligned with einen, but not the other way round).",15,16
5,14430680,"We use "" "" as the symbol of the combination operator.",6,7
6,52121142,"Likely, this is related to the fact that character-level features such as casing, letter n-grams or appurtenance to the symbol and/or number class are useful in identifying proper names, dates, location etc.,",25,26
7,184486914,"2 for an example) is a set of ordered triples (i, j, ), where i and j are positions in the sentence (or a distinguished root symbol) and ∈ L is the label of the edge i → j in the tree; each position occurs exactly once as the first element in a triple.",32,33
8,250390920,Columns 2 and 3 did not contain useful information (only an underscore symbol was present).,13,14
9,18627932,"Finally, FilterFST traverses L to find all edges with a [S] symbol.",14,15
10,18627932,"From each one, it performs a depth-first search to find all paths to an edge with an [E] symbol, accumulating all [S]-and [E]-delimited spans.",23,24
11,18969658," For hashtags the '#' symbol is removed and the tag is split using the capital-letter rule described in (Hauff & Houben, 2011) .",7,8
12,16428009,"It relies on information about gene candidates, contexts of the symbol and external knowledge sources.",11,12
13,16428009,3) Gene candidate retrieval retrieves gene candidates for each gene symbol.,11,12
14,16428009,"4) Matching includes various algorithms that match contexts of a gene symbol to information about its gene candidates according to the mappings obtained in mapper, and returns similarity values between them.",12,13
15,16428009,5) Normalization ranking ranks gene candidates based on results of Matching for each gene symbol appearing in a text.,15,16
16,16428009,Pre.-2 is computed as the average of the precision of disambiguation for each gene symbol.,14,15
17,14458091,Those non-terminals include one symbol that presumes that the terms describe a pathological state and one that presumes the opposite. (,6,7
18,114910146,"A symbol that identifies the resolution, consist- ing of a number corresponding to the session, and a number corresponding to the ordinal position of this resolution in the series of resolutions adopted in this session; in the present example, this is 59/34.",1,2
19,114910146,"From the HTML format, the multiple language versions for the same resolution symbol (the identification numbers introduced earlier) were aligned, using the assumption that the translations were strict at the level of formatting as well as at the level of content.",13,14
20,114910146,"To this end, these documents generally contain all relevant context and make heavy use of fully-explicit and unambiguous document symbol  references.",22,23
21,114910146,"While it is not practical to identify all possible symbol variations, 7 we have developed a set of regular expressions to locate and mark a significant proportion of the symbols in the corpus.",9,10
22,6773023,"Such images often represent a mathematical symbol, which is important information to retain; • hr tags proved to be an important indicator for dividing header cells from data cells.",6,7
23,2300829,"It should be also noted, that stems are generated only for words from a given vocabulary (for other words OOV symbol is placed) and proper names, foreign words, spellings and abbreviations are recognized and special symbols are inserted instead of stems as in following example: plan|plan|5 był|być|106 w|*letter|0 pełni|pełnia|9 gotowy|gotowy|18 w|*letter|0 dziewięćdziesiątym|dziewięćdziesiąty|255 ósmym|ósmy|255 roku|rok|93 nosił|nosić|106 nazwę|nazwa|10 digital|oov|-2 Millennium|OOV|- 2 Copyright|OOV|-2 act|OOV|-2 .|.| Our tool uses Windows-1250 Eastern Europe character encoding, thus it was necessary to convert data from/to UTF-8 encoding used by all other tools.",22,23
24,211132778,"original uymam'=an wa isam=an hi okake ta modified uymam=an wa isam=an hi okake ta Though the equal symbol ('=') does not represent a sound, we keep it because it is used in almost all of the Ainu documents and provides grammatical information.",23,24
25,211132778,"CTC augments the output symbol set with the ""blank"" symbol 'ϕ'.",4,5
26,211132778,"CTC augments the output symbol set with the ""blank"" symbol 'ϕ'.",11,12
27,211132778,"p(L|X) = ∑ Π ∈B −1 (L) |Π |=|X| p(Π |X) (1) B is a function to contract the outputs of RNNs, so B −1 (L) means the set of symbol sequences which is reduced to L. The model is trained to maximize (1).",39,40
28,211132778,"=' and the special symbol '⟨wb⟩', which means a word boundary, are added to make it possible to convert the output into a sequence of words like the 'original' in Table 3 .",5,6
29,211132778,The former repeatedly replaces the most common character pair with a new single symbol until the vocabulary becomes the intended size.,13,14
30,211132778,The output of the syllable model is rewritten into words using the '⟨wb⟩' symbol.),15,16
31,9974205,The symbol @ denotes a null word.,1,2
32,6220464,"Since the probability of the input sequence should be summed up for all possible paths from the initial state, the probability P(L) of the input sequence L will be expressed as follows (state transition and word occurrence probabilities are assumed to depend on a single preceding state, i.e., are based on bigram model): n+1 P(L) = H wi,n+iEL so,n+1 i=1 A little modification is necessary in the forward and backward probabilities since some transition with a symbol may come from distinct states with the same name.",87,88
33,9411474,A special symbol 'NIL' represents any word not included in the concept.,2,3
34,15058909,"Figure 1 shows examples of the two problems with the MICG solution, where the square symbol denotes the chunk to be memorized and the diamond symbol denotes the chunk to be induced.",16,17
