,corpus_id,sentence,start_idx,end_idx
0,9766288,"Furthermore, the granularity on which the choices have to bee made is too coarse, i.e. the pieces for which the symbolic engines do produce better translations than the SMT engine are accompanied by too many bad choices so that the net effect is negative.",22,23
1,14782847,"The characteristic and an advantage of natural language is that, as a symbolic system, it has an internal logical framework for organizing and positioning conceptual knowledge, which is its lexicon system.",13,14
2,14782847,"情境--組織/存放辭彙語義知識的恰當框架 Situation A word is the symbolic embodiment of a concept, and a concept is generated in a peculiar cognition scheme, which will be called its generating scheme.",10,11
3,219310203,The classifier was adapted to accept symbolic features for classification tasks in Natural Language Processing.,6,7
4,219310203,Each symbolic feature can have a single value from a finite set of values or can be assigned a subset of values from the set of all possible values.,1,2
5,241583403,Each description is usually a longer sentence than short labels and therefore can carry more semantic information; 3) symbolic labels.,20,21
6,241583403,"1 ""short"": original intent labels, which are either short phrases or single words; ""Aug"": data augmentation; 2 ""long"": detailed intent descriptions are used to replace short label to form utterance-label-pair; 3 ""Symb"": symbolic labels encoded as symbols like ""0"", ""1"", etc.",52,53
7,9551366,"For easy comparison, the symbolic scores poor, acceptable, good translate to 0,0.5 and 1, respectively, in the tables below.",5,6
8,6553548,"We decided to implement our own language rather than using an existing implementation in order to have access to the underlying data structures, which we use in three ways not traditionally applied to symbolic languages: 1-We have extended our language to include Java objects as constants and Java methods as functions and relations.",34,35
9,6553548,"Although incorporating ideas and approaches from others, we feel that ONYX is unique in several ways, including its high level of syntactic/semantic integration and the ways in which it blends symbolic and probabilistic representations of domain knowledge.",34,35
10,6553548,ONYX contains a number of innovative ideas including a novel adaptation of Kay's (1980) parse algorithm; a symbolic language extended to include probabilistic and procedural elements; an integration of syntax and semantics that includes a semantically weighted probabilistic context free grammar and interpretation based both on a semantic network and a semantic grammar.,21,22
11,12301166,"The BIOCREATIVE challenge and other related ones have shown at several occasions that participants continue to use two fundamentally different systems: symbolic pattern-based systems (rule systems), on the one hand, and feature-based statistical machine learning (ML) systems, on the other hand.",22,23
12,12374623,"The real world described with natural language has continuous expanse and transition, although the natural language itself is a descrete symbolic system.",21,22
13,218977375,"and in all types of functions-instrument for communication, symbolic object, cognitive ability to be stimulated through formal education in native language, knowledge vehicle, ability to be exercised in the acquisition of a second language, reflection of mental activity, natural form of interaction with artificial agents and devices, etc.",11,12
14,215814438,"The repository exposes the Catalog API, which is based on the AI4EU metadata model, in the center of which is the AI resource: this can be any relevant entity like trained models, data sets, tools for symbolic AI, tools to build AI pipelines etc.",41,42
15,215814438,"It includes tools and models for symbolic AI, ethical AI and verifiable AI, and allows for collaboration and feedback (discussion, ratings, workgroups) .",6,7
16,219302028,"One participant (XRCE-M) built a hybrid system, combining a symbolic, supervised approach based on deep parsing with an unsupervised distributional approach exploiting lexical information obtained from large corpora.",14,15
17,219302092,"The CLR system did not use classifiers, but hand-written symbolic rules.",12,13
18,16273722,Each stage of processing is defined by a body of annotated data which provides a symbolic framework for that level of representation.,15,16
19,15597981,"PurePos can perform tagging and lemmatization at the same time, it is very fast to train, with the possibility of easy integration of symbolic rulebased components into the annotation process that can be used to boost the accuracy of the tool.",25,26
20,15597981,"In this paper, we describe the improvements that we made to an open source tool, PurePos, which, combining statistical models with symbolic and rule-based components, can generate highly accurate morphological annotation.",25,26
21,15597981,The incorporation of symbolic morphological knowledge in the form of a high-coverage MA in the tagging procedure can successfully reduce the effect of domain differences.,3,4
22,15597981,"In a previous version of PurePos, this could only be done through integration of a symbolic component using a Java API.",16,17
23,219300590,One relevant feature of ILP is its ability to produce expressive symbolic models.,11,12
24,5186579,"In the GA-Tagger, we adopted a symbolic representation.",9,10
25,17275283,"To build a preliminary list of words, the authors applied entity recognition (dictionary look-ups, automated term recognition), N-gram modeling (frequency of consecutive words appearing in the messages) and symbolic processing (part-of-speech tagging and sentence parsing).",39,40
26,8131267,"A striking particularity of TBL in comparison with other learning methods is perceptive and symbolic: the linguists are able to observe, intervene in all the learning, implementing processes as well as the intermediary and final results.",14,15
27,18583936,TTS synthesis involves two major steps: (a) extraction of features from text and (b) conversion of symbolic representations into actual speech.,21,22
28,18128262,And indeed many properties of our model have statistical echoes: inheritance relations which provide symbolic analogues of backing off or smoothing etc.,15,16
29,18128262,This would be empirically-based but purely symbolic NLP.,8,9
30,218977408,"We describe an approach on translation inference based on symbolic methods, the propagation of concepts over a graph of interconnected dictionaries: Given a mapping from source language words to lexical concepts (e.g., synsets) as a seed, we use bilingual dictionaries to extrapolate a mapping of pivot and target language words to these lexical concepts.",9,10
31,11663521,"The reference corpus is extracted from the French Treebank, the symbolic learning strategy used is grammatical inference and the statistical one is CRFs (Conditional Random Fields).",11,12
32,11663521,"As expected, the symbolic approach allows readability but is less effective than the statistical one.",4,5
33,11663521,"There also exists other branches of Machine Learning, referred to as symbolic, whose particularity is to provide a more human-readable output.",12,13
34,11663521,The results of both combinations are promising and suggest original trails to associate symbolic and statistical learning.,13,14
35,11663521,"Brief state of the art GI is the study of how it is possible to automatically learn a symbolic device able to represent a language (a formal grammar, an automaton...) from a sample of (possibly enriched) sequences known to belong (or not) to this language (de la Higuera, 2010) .",18,19
36,11663521,"Combinations In the previous sections, we have applied either pure symbolic learning or pure statistical learning.",11,12
37,11663521,"Instead, we just propose a CRF-based diagnosis of a purely symbolic device.",13,14
38,11663521,"We focused here on automata produced by machine learning to show that, even without any linguistic expertise, it is possible to combine symbolic and statistical models.",24,25
39,11663521,"It is also interesting to see that symbolic models enhance the treatment of rare cases, on which statistical models do not behave well.",7,8
40,7770237,"As a result, we obtain a set of pieces of symbolic knowledge, which increase understanding of the task and are likely to pertain beyond the given corpus to some extent.",11,12
41,219302601,"Our system addresses this task by combining a symbolic approach based on robust deep parsing and lexical semantic information, with a distributional method using syntactic context similarities calculated on large corpora.",8,9
42,219302601,"For each Named Entity annotation, the hybrid method consists in using symbolic annotation if there is ( §1.2), else using distributional annotation ( §1.3) as presented below.",12,13
43,219302601,"We prepared the corpus by lemmatizing and then parsing with the same robust parser than for the symbolic approach (XIP, see section 3.1).",17,18
44,219302601,"At this point, we use the results of the symbolic approach described before as starting point.",10,11
45,219302601,"We attribute to each context of the Sub_contexts list, the annotation, if there is, attributed by symbolic rules.",19,20
46,219302601,"Conclusion This paper describes a system combining a symbolic and a non-supervised distributional approach, developed for resolving location and organization names metonymy.",8,9
47,207901100,"In essence, we cast the task as a sequencelabeling problem, by directly predicting IDs as symbolic labels.",17,18
48,198986900,"2018 )), a system with symbolic inter-modular communication may seem anachronous, but we believe emtsv as a pre-processing tool can help state-of-the-art systems, especially in handling less frequent or out-of-vocabulary words.",7,8
49,218971825,"Meanwhile, struggles over language use often arise from dominant social groups' desire to ""control both material and symbolic resources""-i.e., """,20,21
50,7442467,"This idea has been tentatively implemented both into various symbolic analogy-based algorithms (e.g. (Dedina and Nusbaum, 1991; Sullivan and Damper, 1992) ) and into connectionist pronunciation devices (e.g. (Seidenberg and McClelland, 1989) ).",9,10
51,7442467,"System Discussion and Perspectives Related works A large number of procedures aiming at the automatic discovery of pronunciation ""rules"" have been proposed over the past few years: connectionist models (e.g. (Sejnowski and Rosenberg, 1987) ), traditional symbolic machine learning techniques (induction of decision trees, k-nearest neighbours) e.g. (Torkolla, 1993; van den Bosch and Daelemans, 1993) , as well as various recombination techniques (Yvon, 1996a) .",44,45
52,8216303,"In this paper, we present a surface realiser which combines a reversible grammar (used for parsing and doing semantic construction) with a symbolic means of selecting paraphrases.",25,26
53,8216303,"In this paper, we present a surface realiser which combines reversibility with a symbolic approach to determinism.",14,15
54,8216303,"2) a. lj :jean(j) la:aime (e,j,m) To select from among all possible paraphrases of a given input, exactly one paraphrase, NLG geared realisers use symbolic information to encode syntactic, stylistic or pragmatic constraints on the output.",37,38
55,8216303,"This figure compares favourably with the size of the largest regression test suite used by a symbolic NLG realiser namely, the SURGE test suite which contains 500 input each corresponding to a single sentence.",16,17
56,8216303,Related work The approach presented here combines a reversible grammar realiser with a symbolic approach to paraphrase selection.,13,14
57,8216303,"First, it permits a symbolic selection of the output paraphrase.",5,6
58,15347055,"We could also use more sophisticated tools, a statistical parser or a symbolic one with a wide coverage grammar in an alternate formalism.",13,14
59,15347055,"Given a large scale symbolic grammar, parsing will often yield several hundreds of parses many of them are probably incorrect.",4,5
60,1034412,"2007) , which details a complete pipe-line of hand-crafted, symbolic, modules.",15,16
61,126413,"Based on the examples, background knowledge and a series of settings specifying the predicate to be learned (i.e., the heads of the rules), the predicates that can be in the conditional part of the rules, how the arguments can be shared among different predicates and several other parameters, the inference engine produces a set of symbolic rules.",62,63
62,126413,Models learned with ILP are symbolic and can be easily interpreted.,5,6
63,52011479,"We would like to mention that the candidate list for one MWT includes all the words in the vocabulary plus all the MWTs extracted by a symbolic terminology extraction system, which generally extracts three times as many MWTs as words in the vocabulary.",26,27
64,12040771,"While symbolic realisers dominated for much of this period, the past decade has seen the development of many different types of statistical surface realisers.",1,2
65,7403259,"From sentenceto-sentence aligned corpora, symbolic [2] , statistical [11] , or combined [7] techniques are used for word and expression alignments.",7,8
66,16494729,"Hnally, distributed representations can be processed conwmiently by vector processing methods or connectionist algorithms and can be used either as part of a symbolic system (Sutclitl~, 1992b) or within a eonnectionist architecture (Sutcliffe, 1988) .",24,25
67,2250129,"Related Works Generally speaking, approaches to MWE extraction proposed so far can be divided into three categories: a) statistical approaches based on frequency and co-occurrence affinity, b) knowledge-based or symbolic ap-proaches using parsers, lexicons and language filters, and c) hybrid approaches combining different methods (Smadja 1993; Dagan and Church 1994; Daille 1995; McEnery et al.",38,39
68,2250129,"Like pure statistical approaches, purely knowledge-based symbolic approaches also face problems.",9,10
69,2250129,"2001b) suggest, it is important to find the right balance between symbolic and statistical approaches.",13,14
70,15955820,"Other approaches for ellipsis detection rely on symbolic processing of sentences, which is similar to our work.",7,8
71,209516094,"First and foremost, it opens a path towards integrated neuro-symbolic approaches to parsing.",12,13
72,221970224,"Our methodology induces a batch-efficient, end-to-end differentiable architecture that actualizes a formally grounded yet highly efficient neuro-symbolic parser.",25,26
73,8828965,The system contains a sub-symbolic goal inference system which is able to detect the goals and errors of humans by analysing their verbal and non-verbal behaviour.,6,7
74,8828965,This robot combines approaches from subsymbolic processing and symbolic reasoning in a hybrid architecture based on that described in Foster et al. (,8,9
75,8828965,The system has components which use both sub-symbolic and symbolic processing.,9,10
