,corpus_id,sentence,start_idx,end_idx
0,14330089,"Linguistic knowledge are asserted, and transformation rules are directly formalized in first order logic.",14,15
1,14985007,"Kamp, 1981) -a variant of the first-order logic that is used for the dynamic interpretation of natural language and systematic translation of natural language into logical form -without any ambiguity, using tools like Attempto Parsing Engine (APE).",11,12
2,218974487,"This works by converting constituency tree annotations into logic based meaning representations from which 10 From the standpoint of Construction Grammar (Goldberg, 1995) , the named semantic roles and the numbered semantic roles can be regarded as 'argument roles' and 'patient roles', respectively.",8,9
3,219306659,1999) project aims to transform the WordNet glosses into a format that allows the derivation of additional semantic and logic relations.,20,21
4,219306659,"The last release of the Extended WordNet is based on WordNet 2.0 and has three stages: POS tagging and parsing, logic form transformation, and semantic disambiguation.",22,23
5,14025468,"Our rule description system is inspired after the time-independent logic function (combinational logic) paradigm, which stipulates that a fixed input size logical function, described through a stochastic list of input/output dependence sequence, through a process of logical minimization, this function can be implemented as an array of ""AND"" gates, followed by an array of ""OR"" gates.",11,12
6,14025468,"Our rule description system is inspired after the time-independent logic function (combinational logic) paradigm, which stipulates that a fixed input size logical function, described through a stochastic list of input/output dependence sequence, through a process of logical minimization, this function can be implemented as an array of ""AND"" gates, followed by an array of ""OR"" gates.",15,16
7,14025468,"This does not contradict the combinational logic paradigm, since we can consider this rule as having a fixed input size of three and, as a result of logic minimization, the third parameter for 6 of the seven instances falls into the ""DON'T CARE"" special input class.",6,7
8,14025468,"This does not contradict the combinational logic paradigm, since we can consider this rule as having a fixed input size of three and, as a result of logic minimization, the third parameter for 6 of the seven instances falls into the ""DON'T CARE"" special input class.",29,30
9,17403471,"2015) , and uses first order logic as a template language for defining factor graph templates, which are instanti-ated from given data.",7,8
10,17403471,A relational model is specified in DRAIL using a set of weighted first-order logic rule templates that describe predictions and express the dependencies and constraints of a specific domain.,15,16
11,17403471,"Each rule is composed of: (1) a template definition written in first order logic, (2) the neural network architecture that will be used to learn the parameters of its scoring function, and (3) the set of feature functions to be extracted.",16,17
12,218977375,The underlying database schema and workflow logic have been developed as an enhancement of the previously available METASHARE 7 repository software.,6,7
13,5416891,"As for constructing a ('Oml)uter model, conventional logic fMls short of ore"" tmrpose.",10,11
14,5416891,"Anlong the formulations based Imrely on C()llVelltioual logic, n,ost, t,ypical is slot-tiller ret)resen~a-|,ion such as a tbrmulal:ion by Gordon Nowtk ,It"" [2] .",7,8
15,2154023,2011) extracts on simple logic of extracting probable entities/concepts connected with a relation term adjacently.,5,6
16,201070096,"Next, a gRPC server is implemented with the core business logic.",11,12
