,corpus_id,sentence,start_idx,end_idx
0,18022704,"Accroding to human intuition, they simply refer to names of countries and should not have such different similarity values.",3,4
1,690455,"The intuition for adjustment formula comes from the work of (Chung and Gildea, 2009) and (Liang and Klein, 2009) , who use a exponential Length Penalty measure to adjust their model for morpheme length.",1,2
2,7036291,The intuition about this algorithm is simple: for each review the number of matched positive and negative words from the sentiment lexicon are counted.,1,2
3,10435939,"For example, since extensions are no more than human intuition, we must discuss how we can assign LCSs for given verbs based on explicit language tests, as described in (Takeuchi et al.,",10,11
4,1666195,Let us formalize this intuition for the generative model.,4,5
5,11488783,Sentence length methods were based on the intuition that the length of a translated sentence is likely to be similar to that of the source sentence.,7,8
6,216868180,"This aligns with the intuition that word distributions before and after a true segment break are typically quite different (Hearst, 1997) .",4,5
7,52121142,"Without using external data such as word embeddings our intuition is that it is hard to learn patterns that have to do with ""word semantics"" (the case of MWEs) with so few training examples.",9,10
8,52121142,"Also, given that our system is inspired from parsing, our intuition is that parsing will not enhance results.",12,13
9,250390920,"This seems to confirm the intuition behind the new layer, that the model is able to better focus on details present in the data and potentially filter out the noise.",5,6
10,219310353,"Finally, there are two failure modes for the algorithm: either there are no good substitutes that differentiate the various senses (as I suspect is the case for some prepositions), or the language model does not yield accurate preferences among the substitutes that correspond to our intuition.",50,51
11,219310353,The correspondence between the language model and our intuition requires further study.,8,9
12,11080756,We formalize this intuition as the modified unigram precision.,3,4
13,9885664,"The second objective of our work was to validate our intuition that a statistical baseline system can be re-used (cascaded) to automatically learn how to (partially) correct its own translation errors, i.e. to turn an initially ""broken"" translation into a better one.",10,11
14,9885664,The intuition that motivated our experiments is that the same methodology used in translating from language A into language B could be applied for (partially) correcting the initial translation errors.,1,2
15,14928092,"The intuition behind Capsule is this: Embassies write cables throughout the year, usually describing typical diplomatic business, such as visits from government officials.",1,2
16,14928092,"Capsule embeds this intuition into a Bayesian model that uses latent variables to encode what ""business as usual"" means for each embassy, to characterize the events of each week, and to identify the cables that discuss those events.",3,4
17,14928092,"We first provide the intuition behind Capsule, and then formally specify the model.",4,5
18,10090814,"In order to provide intuition for the behavior of our topic coherence metric, table 1 shows three example topics and their topic coherence scores.",4,5
19,219304584,"The intuition behind this method is that when the sense collocation of NCs is the same, their SR is most likely the same.",1,2
20,204950178,"The mentioned results follow intuition, as fluency of a response is a notion that can be easily defined and identified.",4,5
21,219310262,"As we did not have time to test this intuition properly, we opted for applying the sense-weighting only when the candidates had the same context-match length, instead of using the number of hits.",9,10
22,12951305,"These methods score a sentence according to its similarity to the rest of the sentences in the document (D − S) based on the following intuition: the more document content is covered by a sentence, the more important the sentence is to a summary.",27,28
