feature,token_id,V1,cluster,feature,predicted_value,word,sentence,pos_coarse,pos_fine,dependency,lemma,head,head_pos,head_lemma,head_dependency,entity_type,entity_label,is_alpha,is_stop,is_punct,shape,top_bottom
FALSE,4892,366252,0,FALSE,0.12334798,week,"So , there 's Gallows and Anderson facing off against Cesaro and Sheamus for the honor of losing to New Day next week ( wash , rinse , repeat ) , and there 's Bayley taking on Alicia Fox because of some convoluted story involving a crush on Cedric Alexander .",NOUN,NN,npadvmod,week,losing,VERB,lose,pcomp,DATE,I,TRUE,FALSE,FALSE,xxxx,top
FALSE,24854,71658,0,FALSE,0.12622127,Tuesday,"<p> Majorities of the American public disagree with ideas the House GOP is floating to bridge a gap within its own conference and overhaul health care , according to a poll released Tuesday .",PROPN,NNP,npadvmod,Tuesday,released,VERB,release,acl,DATE,B,TRUE,FALSE,FALSE,Xxxxx,top
FALSE,30017,47772,2,FALSE,0.1652885,Thursday,"That was poor late-game execution on inbound plays by the Wolverines , really , a point coach John Beilein planned to drive home during a brief practice Tuesday before the team headed to Kansas City for Thursday 's Midwest Regional semifinal against Oregon .",PROPN,NNP,poss,Thursday,semifinal,NOUN,semifinal,pobj,DATE,B,TRUE,FALSE,FALSE,Xxxxx,top
FALSE,37516,39810,2,FALSE,0.1452936,Thursday,"Governor of the Bank of England Mark Carney speaking during the Bank of England ' Independence 20 years on ' conference , which marks two decades of operational independence from the UK government , at Fishmongers Hall in London Thursday Sept. 28 , 2017 . .",PROPN,NNP,npadvmod,Thursday,Hall,PROPN,Hall,pobj,DATE,B,TRUE,FALSE,FALSE,Xxxxx,top
FALSE,64890,163221,0,FALSE,0.15220957,Thursday,<h> New OPS high school is focus of public meeting Thursday <p>,PROPN,NNP,npadvmod,Thursday,meeting,NOUN,meeting,pobj,DATE,B,TRUE,FALSE,FALSE,Xxxxx,top
FALSE,95227,760371,4,FALSE,0.13395424,year,The Asian tiger mosquito is one of two tropical mosquitoes that emerged in Orange County last year .,NOUN,NN,npadvmod,year,emerged,VERB,emerge,relcl,DATE,I,TRUE,FALSE,FALSE,xxxx,top
FALSE,118889,111468,0,FALSE,0.15006381,Tuesday,"The yield on the benchmark 10-year Treasury note TMUBMUSD10Y , +0.23% for example , surged from 1.6% at the end of September to 2.40% in recent trade Tuesday -- a sizable move for government bonds as investors turned risk-giddy rather than risk-averse after the election .",PROPN,NNP,npadvmod,Tuesday,surged,VERB,surge,ROOT,DATE,B,TRUE,FALSE,FALSE,Xxxxx,top
FALSE,124994,103506,2,FALSE,0.20657614,Tuesday,He followed that with another 0-for-2 night Tuesday .,PROPN,NNP,npadvmod,Tuesday,night,NOUN,night,pobj,DATE,I,TRUE,FALSE,FALSE,Xxxxx,top
FALSE,177076,179145,1,FALSE,0.12753654,week,Chad Gifford told Radio Boston in the interview this week .,NOUN,NN,npadvmod,week,told,VERB,tell,ROOT,DATE,I,TRUE,FALSE,FALSE,xxxx,top
FALSE,181283,87582,0,FALSE,0.14056206,Tuesday,"But on Tuesday , the City of New York announced just that : Every NYPD officer will have body cameras by the end of 2019 .",PROPN,NNP,pobj,Tuesday,on,ADP,on,prep,DATE,B,TRUE,FALSE,FALSE,Xxxxx,top
FALSE,42824,71658,1,FALSE,-0.2536782,Park,The article failed to mention that Denver has another Halprin gem : Babi Yar Park on Havana Street .,PROPN,NNP,appos,Park,article,NOUN,article,nsubj,,O,TRUE,FALSE,FALSE,Xxxx,bottom
FALSE,48814,179145,2,FALSE,-0.2619438,off,But then he wanted me to take my bikini bottoms off - I started to feel very uncomfortable .,ADP,IN,prt,off,take,VERB,take,ccomp,,O,TRUE,TRUE,FALSE,xxx,bottom
